site_id,date,NDVI
WL-BHE-05,2023-03,0.6959
WL-BHE-05,2023-04,0.7111
WL-BHE-05,2023-05,0.6924
WL-BHE-05,2023-06,0.6382
WL-BHE-05,2023-07,0.5223
WL-BHE-05,2023-08,0.4924
WL-BHE-05,2023-09,0.4797
WL-BHE-05,2023-10,0.5193
WL-BHE-05,2023-11,0.6129
WL-BHE-05,2024-01,0.6317
WL-BHE-05,2024-02,0.6728
WL-BHE-05,2024-03,0.7062
WL-BHE-05,2024-04,0.7479
WL-BHE-05,2024-05,0.706
WL-BHE-05,2024-06,0.6785
WL-BHE-05,2024-07,0.6128
WL-BHE-05,2024-08,0.5282
WL-BHE-05,2024-09,0.5361
WL-BHE-05,2024-10,0.5776
WL-BHE-05,2024-11,0.6169
WL-BHE-05,2024-12,0.6021
WL-BHE-05,2025-01,0.7316
WL-BHE-05,2025-03,0.4927
WL-BHE-05,2025-04,0.7809
WL-BHE-05,2025-05,0.7512
WL-BHE-05,2025-06,0.6941
WL-BHE-05,2025-07,0.6075
WL-BHE-05,2025-08,0.5194
WL-BHE-05,2025-09,0.485
WL-BHE-05,2025-10,0.6052
WL-BHE-05,2025-11,0.6551
WL-BHE-05,2025-12,0.6909
WL-BHE-05,2026-01,0.652
WL-BHE-05,2026-02,0.7244
WL-BHE-05,2026-03,0.7641
WL-BHE-05,2026-04,0.7824
WL-BHE-05,2026-05,0.7792
WL-BHE-05,2026-06,0.7526
WL-BHE-05,2026-07,0.654
WL-BUF-01,2023-01,0.6571
WL-BUF-01,2023-02,0.6926
WL-BUF-01,2023-03,0.6622
WL-BUF-01,2023-04,0.5833
WL-BUF-01,2023-06,0.5853
WL-BUF-01,2023-07,0.5255
WL-BUF-01,2023-08,0.4889
WL-BUF-01,2023-09,0.4575
WL-BUF-01,2023-10,0.5467
WL-BUF-01,2023-11,0.5978
WL-BUF-01,2023-12,0.6546
WL-BUF-01,2024-01,0.6478
WL-BUF-01,2024-02,0.6517
WL-BUF-01,2024-03,0.6112
WL-BUF-01,2024-04,0.6261
WL-BUF-01,2024-05,0.6007
WL-BUF-01,2024-06,0.5475
WL-BUF-01,2024-07,0.4764
WL-BUF-01,2024-08,0.3718
WL-BUF-01,2024-09,0.3708
WL-BUF-01,2024-10,0.5139
WL-BUF-01,2024-11,0.6082
WL-BUF-01,2024-12,0.6286
WL-BUF-01,2025-01,0.6043
WL-BUF-01,2025-03,0.6672
WL-BUF-01,2025-04,0.6778
WL-BUF-01,2025-05,0.6425
WL-BUF-01,2025-06,0.5615
WL-BUF-01,2025-07,0.5241
WL-BUF-01,2025-08,0.4359
WL-BUF-01,2025-09,0.5304
WL-BUF-01,2025-10,0.5349
WL-BUF-01,2025-11,0.5974
WL-BUF-01,2025-12,0.6152
WL-BUF-01,2026-01,0.6009
WL-BUF-01,2026-02,0.5799
WL-BUF-01,2026-03,0.6149
WL-BUF-01,2026-04,0.4259
WL-BUF-01,2026-05,0.5979
WL-BUF-01,2026-06,0.5174
WL-BUF-01,2026-07,0.4487
WL-BUF-02,2023-01,0.7642
WL-BUF-02,2023-02,0.4969
WL-BUF-02,2023-03,0.7816
WL-BUF-02,2023-04,0.7318
WL-BUF-02,2023-06,0.7018
WL-BUF-02,2023-07,0.5592
WL-BUF-02,2023-08,0.5055
WL-BUF-02,2023-09,0.4394
WL-BUF-02,2023-10,0.5409
WL-BUF-02,2023-11,0.6397
WL-BUF-02,2023-12,0.7295
WL-BUF-02,2024-01,0.683
WL-BUF-02,2024-02,0.7746
WL-BUF-02,2024-03,0.7239
WL-BUF-02,2024-04,0.761
WL-BUF-02,2024-05,0.7273
WL-BUF-02,2024-06,0.6367
WL-BUF-02,2024-07,0.5467
WL-BUF-02,2024-08,0.4091
WL-BUF-02,2024-09,0.4033
WL-BUF-02,2024-10,0.4846
WL-BUF-02,2024-11,0.6815
WL-BUF-02,2024-12,0.7352
WL-BUF-02,2025-01,0.8025
WL-BUF-02,2025-03,0.8202
WL-BUF-02,2025-04,0.8276
WL-BUF-02,2025-05,0.7935
WL-BUF-02,2025-06,0.6709
WL-BUF-02,2025-07,0.5802
WL-BUF-02,2025-08,0.5063
WL-BUF-02,2025-09,0.5168
WL-BUF-02,2025-10,0.5266
WL-BUF-02,2025-11,0.622
WL-BUF-02,2025-12,0.7257
WL-BUF-02,2026-01,0.773
WL-BUF-02,2026-02,0.7534
WL-BUF-02,2026-03,0.7965
WL-BUF-02,2026-04,0.6466
WL-BUF-02,2026-05,0.7714
WL-BUF-02,2026-06,0.6425
WL-BUF-02,2026-07,0.4915
WL-BUF-03,2023-01,0.5482
WL-BUF-03,2023-02,0.5707
WL-BUF-03,2023-03,0.597
WL-BUF-03,2023-04,0.4688
WL-BUF-03,2023-06,0.5262
WL-BUF-03,2023-07,0.4733
WL-BUF-03,2023-08,0.4177
WL-BUF-03,2023-09,0.3901
WL-BUF-03,2023-10,0.4536
WL-BUF-03,2023-11,0.5204
WL-BUF-03,2023-12,0.5612
WL-BUF-03,2024-01,0.4264
WL-BUF-03,2024-02,0.5537
WL-BUF-03,2024-03,0.5101
WL-BUF-03,2024-04,0.541
WL-BUF-03,2024-05,0.51
WL-BUF-03,2024-06,0.4886
WL-BUF-03,2024-07,0.4111
WL-BUF-03,2024-08,0.3207
WL-BUF-03,2024-09,0.3293
WL-BUF-03,2024-10,0.4548
WL-BUF-03,2024-11,0.529
WL-BUF-03,2024-12,0.5378
WL-BUF-03,2025-01,0.5244
WL-BUF-03,2025-03,0.5764
WL-BUF-03,2025-04,0.5964
WL-BUF-03,2025-05,0.5655
WL-BUF-03,2025-06,0.4742
WL-BUF-03,2025-07,0.4412
